#+-----------------------------------------------------------------------------------+
#|                                                                                   |
#| Generated by SLEC-2023.2/1056505  (Jul 18 2023)  linux64  S2307180103             |
#| on Sun Mar 24 15:39:26 2024.                                                      |
#|                                                                                   |
#| Restrictions concerning the use of Siemens SLEC                                   |
#| are covered in the license agreement. Distribution to third party                 |
#| is strictly prohibited.                                                           |
#|                                                                                   |
#+-----------------------------------------------------------------------------------+

     [CPT-RBDF]   Reading SystemC files into the 'spec' design library.
     [CPT-RLI]    Loop at '/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:24' is rolled.
     [CPT-RLI]    Loop at '/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:31' is rolled.
     [CPT-RLI]    Loop at '/home/raid7_4/raid1_1/linux/mentor/Catapult/2023.2/Mgc_home/pkgs/cds_cpc/rls/platform/common/slec/cat2slec_files/Adapters_IP/cpc_input_ac_channel_adapter.h:49' is rolled.
     [CPT-RLI]    Loop at '/home/raid7_2/user12/r12016/asoc/Catapult_1/fir.v1/CDesignChecker/spec_wrapper.cpp:145' is rolled.
     [CPT-RLI]    Loop at '/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:14' is rolled.
     [UI-BDS]     CPU usage after predicate_unrolled_loops = 12.414u 1.198s 13.611 0:19.000
     [UI-BDS]     MEM usage after predicate_unrolled_loops = 132.562m 342.922p
     [UI-BDS]     CPU usage after loop_unroll = 12.414u 1.198s 13.611 0:19.000
     [UI-BDS]     MEM usage after loop_unroll = 132.563m 342.922p
     [UI-BDS]     CPU usage after prune_cover_stmt = 12.414u 1.198s 13.612 0:19.000
     [UI-BDS]     MEM usage after prune_cover_stmt = 132.563m 342.922p
     [UI-BDS]     CPU usage after add_ref_on_assigns = 12.418u 1.198s 13.615 0:19.000
     [UI-BDS]     MEM usage after add_ref_on_assigns = 132.634m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Elab Compute :  Global_Scope

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Rename Malloced Variables :  Global_Scope

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Apply Constant :  Global_Scope

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Blast Struct Decls :  Global_Scope

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Array Synthesis :  Global_Scope

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Clean Unused ITTs :  Global_Scope

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Blast Array :  Global_Scope

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  input_ac_channel_read_ln26_bbox_7

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  input_ac_channel_read_ln26_bbox_7

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  fir::fir

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  fir::fir

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  fir::fir

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  fir::fir

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  fir::run

     [CPT-WFLM]   (/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:32) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: THIS_fir/264907.regs - 7:1 Mux .
     [CPT-WFLM]   (/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:32) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: local_coeffs - 7:1 Mux .
     [CPT-WFLM]   (/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:28) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: THIS_fir/264907.regs - 7:1 Mux .
     [CPT-WFLM]   (/home/raid7_2/user12/r12016/asoc/lab2/lab1_fir/01_walkthrough_loops/fir.h:28) : Potential source of large muxes detected. Size of mux created due to each array at this source relation: THIS_fir/264907.regs - 7:1 Mux .
     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+1MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  fir::run

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  input_ac_channel_adapter<8,1> and all its member functions

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  Scope

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  Scope

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  input_ac_channel_adapter<8,1>::main_method

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  input_ac_channel_adapter<8,1>::main_method

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  input_ac_channel_adapter<8,1>::input_ac_channel_adapter

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  input_ac_channel_adapter<8,1>::input_ac_channel_adapter

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  input_ac_channel_adapter<8,1> and all its member functions

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  spec_wrapper and all its member functions

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  Scope

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  Scope

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  spec_wrapper::process_input

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  spec_wrapper::process_input

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  spec_wrapper::set_constants

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  spec_wrapper::process_output

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  spec_wrapper::process_output

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  spec_wrapper::generate_clk_rst

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  spec_wrapper::doit

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started elaboration:  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  spec_wrapper::spec_wrapper

     [UI-BDS]     SLEC process is using 134 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished elaboration:  spec_wrapper and all its member functions

     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [-2MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Cleanup :  

     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Finished Downscope Globals :  

     [UI-BDS]     CPU usage after cpp_elaborate = 12.565u 1.200s 13.765 0:19.000
     [UI-BDS]     MEM usage after cpp_elaborate = 132.055m 342.922p
     [UI-BDS]     CPU usage after convert_coverstmt_to_cvrassert = 12.566u 1.200s 13.765 0:19.000
     [UI-BDS]     MEM usage after convert_coverstmt_to_cvrassert = 132.056m 342.922p
     [UI-BDS]     CPU usage after uniquify_bboxes_and_insert_probes = 12.566u 1.200s 13.766 0:19.000
     [UI-BDS]     MEM usage after uniquify_bboxes_and_insert_probes = 132.056m 342.922p
     [UI-BDS]     CPU usage after cover_check_reporter = 12.566u 1.200s 13.766 0:19.000
     [UI-BDS]     MEM usage after cover_check_reporter = 132.056m 342.922p
     [UI-BDS]     CPU usage after cleanup = 12.567u 1.200s 13.766 0:19.000
     [UI-BDS]     MEM usage after cleanup = 132.056m 342.922p
     [UI-BDS]     CPU usage after post_elab_const_prop = 12.604u 1.200s 13.803 0:19.000
     [UI-BDS]     MEM usage after post_elab_const_prop = 132.049m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 19 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:45 2024
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +1s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 12.608u 1.201s 13.808 0:20.000
     [UI-BDS]     MEM usage after record_design_checks = 132.049m 342.922p
     [UI-BDS]     CPU usage after handle_float_types_natively = 12.610u 1.201s 13.810 0:20.000
     [UI-BDS]     MEM usage after handle_float_types_natively = 132.049m 342.922p
     [UI-BDS]     CPU usage after transform_slice_write = 12.610u 1.201s 13.811 0:20.000
     [UI-BDS]     MEM usage after transform_slice_write = 132.050m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking CCC is 12.611u 1.201s 13.812 0:20.000
     [CPT-PRMS]   MEM usage after checking CCC is 132.048m 342.922p
     [CPT-PRCS]   CPU usage after checking RRT is 12.611u 1.201s 13.812 0:20.000
     [CPT-PRMS]   MEM usage after checking RRT is 132.048m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 12.612u 1.201s 13.812 0:20.000
     [UI-BDS]     MEM usage after do_design_checks = 132.047m 342.922p
     [UI-BDS]     CPU usage after infer_power_up_values = 12.625u 1.201s 13.826 0:20.000
     [UI-BDS]     MEM usage after infer_power_up_values = 132.052m 342.922p
     [UI-BDS]     CPU usage after const_fold = 12.626u 1.201s 13.827 0:20.000
     [UI-BDS]     MEM usage after const_fold = 132.051m 342.922p
     [UI-BDS]     CPU usage after infer_clock = 12.627u 1.201s 13.827 0:20.000
     [UI-BDS]     MEM usage after infer_clock = 132.051m 342.922p
     [UI-BDS]     CPU usage after synthesize_sequential_hierarchies = 12.630u 1.201s 13.830 0:20.000
     [UI-BDS]     MEM usage after synthesize_sequential_hierarchies = 132.055m 342.922p
     [UI-BDS]     CPU usage after transform_mem_comb_read = 12.630u 1.201s 13.831 0:20.000
     [UI-BDS]     MEM usage after transform_mem_comb_read = 132.055m 342.922p
     [UI-BDS]     CPU usage after introduce_writes_for_roms = 12.631u 1.201s 13.831 0:20.000
     [UI-BDS]     MEM usage after introduce_writes_for_roms = 132.055m 342.922p
     [UI-BDS]     CPU usage after reset_restr = 12.631u 1.201s 13.832 0:20.000
     [UI-BDS]     MEM usage after reset_restr = 132.058m 342.922p
     [UI-BDS]     CPU usage after handle_ac_probe_stmts = 12.632u 1.201s 13.832 0:20.000
     [UI-BDS]     MEM usage after handle_ac_probe_stmts = 132.058m 342.922p
     [UI-BDS]     CPU usage after coalesce_multi_concats = 12.632u 1.201s 13.833 0:20.000
     [UI-BDS]     MEM usage after coalesce_multi_concats = 132.059m 342.922p
     [UI-BDS]     CPU usage after remove_sc_int_upcasts = 12.632u 1.202s 13.834 0:20.000
     [UI-BDS]     MEM usage after remove_sc_int_upcasts = 132.059m 342.922p
     [UI-BDS]     CPU usage after handle_shift_operations = 12.633u 1.202s 13.834 0:20.000
     [UI-BDS]     MEM usage after handle_shift_operations = 132.076m 342.922p
     [UI-BDS]     CPU usage after var_bit_range = 12.634u 1.202s 13.835 0:20.000
     [UI-BDS]     MEM usage after var_bit_range = 132.076m 342.922p
     [UI-BDS]     CPU usage after var_bit_sel = 12.634u 1.202s 13.836 0:20.000
     [UI-BDS]     MEM usage after var_bit_sel = 132.077m 342.922p
     [UI-BDS]     CPU usage after convert_upto_bit_ranges = 12.635u 1.202s 13.836 0:20.000
     [UI-BDS]     MEM usage after convert_upto_bit_ranges = 132.077m 342.922p
     [UI-BDS]     CPU usage after bit_split = 12.636u 1.202s 13.837 0:20.000
     [UI-BDS]     MEM usage after bit_split = 132.077m 342.922p
     [UI-BDS]     CPU usage after coalesce_concats = 12.636u 1.202s 13.838 0:20.000
     [UI-BDS]     MEM usage after coalesce_concats = 132.078m 342.922p
     [UI-BDS]     CPU usage after concat2sel = 12.637u 1.202s 13.838 0:20.000
     [UI-BDS]     MEM usage after concat2sel = 132.078m 342.922p
     [UI-BDS]     CPU usage after break_array_read_ps = 12.637u 1.202s 13.839 0:20.000
     [UI-BDS]     MEM usage after break_array_read_ps = 132.102m 342.922p
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 132 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 12.640u 1.203s 13.842 0:20.000
     [UI-BDS]     MEM usage after record_design_checks = 132.111m 342.922p
     [UI-BDS]     CPU usage after add_umr_detection_checks = 12.726u 1.203s 13.928 0:20.000
     [UI-BDS]     MEM usage after add_umr_detection_checks = 132.516m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 20 seconds [+1MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Started do_design_checks
     [CPT-PRCS]   CPU usage after checking UMR is 12.727u 1.203s 13.929 0:20.000
     [CPT-PRMS]   MEM usage after checking UMR is 132.517m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Finished do_design_checks
     [UI-BDS]     CPU usage after do_design_checks = 12.727u 1.203s 13.930 0:20.000
     [UI-BDS]     MEM usage after do_design_checks = 132.516m 342.922p
     [UI-BDS]     CPU usage after remove_trivially_true_asserts = 12.728u 1.203s 13.930 0:20.000
     [UI-BDS]     MEM usage after remove_trivially_true_asserts = 132.507m 342.922p
     [UI-BDS]     CPU usage after update_internal_assert_src_rel = 12.729u 1.203s 13.932 0:20.000
     [UI-BDS]     MEM usage after update_internal_assert_src_rel = 132.508m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 12.730u 1.204s 13.935 0:20.000
     [UI-BDS]     MEM usage after record_design_checks = 132.508m 342.922p
     [UI-BDS]     CPU usage after ccovercheck_dominator = 12.730u 1.204s 13.935 0:20.000
     [UI-BDS]     MEM usage after ccovercheck_dominator = 132.508m 342.922p
     [CPT-PCM]    Number of Property Checks: asc='NA'; cvr='NA'; abr=0; abw=0; dbz=0; ise=0; cas=0; umr=0; ovf=0;
     [UI-BDS]     CPU usage after handle_property_asserts = 12.731u 1.206s 13.937 0:20.000
     [UI-BDS]     MEM usage after handle_property_asserts = 132.501m 342.922p
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Started record_design_checks
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 20 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:46 2024
     [UI-BDPM]    Finished record_design_checks
     [UI-BDS]     CPU usage after record_design_checks = 12.732u 1.207s 13.939 0:20.000
     [UI-BDS]     MEM usage after record_design_checks = 132.501m 342.922p
     [UI-BDS]     CPU usage after cleanup_empty_seq_block = 12.737u 1.207s 13.944 0:20.000
     [UI-BDS]     MEM usage after cleanup_empty_seq_block = 132.315m 342.922p
     [UI-BDS]     CPU usage after cpt_insert_waits_forcpc = 12.737u 1.207s 13.945 0:20.000
     [UI-BDS]     MEM usage after cpt_insert_waits_forcpc = 132.316m 342.922p
     [UI-BDS]     CPU usage after wait_restr = 12.766u 1.207s 13.974 0:20.000
     [UI-BDS]     MEM usage after wait_restr = 132.412m 342.922p
     [UI-BDS]     CPU usage after reset_probes = 12.767u 1.207s 13.975 0:20.000
     [UI-BDS]     MEM usage after reset_probes = 132.413m 342.922p
     [UI-BDS]     CPU usage after remove_dead_assigns = 12.774u 1.207s 13.981 0:20.000
     [UI-BDS]     MEM usage after remove_dead_assigns = 132.232m 342.922p
     [UI-BDS]     CPU usage after remove_x_assignments = 12.774u 1.207s 13.982 0:20.000
     [UI-BDS]     MEM usage after remove_x_assignments = 132.227m 342.922p
     [UI-BDS]     CPU usage after nb2b = 12.775u 1.207s 13.983 0:20.000
     [UI-BDS]     MEM usage after nb2b = 132.231m 342.922p
     [UI-BDS]     CPU usage after const_fold = 12.776u 1.208s 13.984 0:20.000
     [UI-BDS]     MEM usage after const_fold = 132.231m 342.922p
     [UI-BDS]     CPU usage after match_operand_widths = 12.776u 1.208s 13.984 0:20.000
     [UI-BDS]     MEM usage after match_operand_widths = 132.234m 342.922p
     [UI-BDS]     CPU usage after remove_dead_assigns = 12.779u 1.208s 13.988 0:20.000
     [UI-BDS]     MEM usage after remove_dead_assigns = 132.231m 342.922p
     [UI-BDS]     CPU usage after mux_compaction = 12.780u 1.208s 13.989 0:20.000
     [UI-BDS]     MEM usage after mux_compaction = 132.200m 342.922p
     [UI-BDS]     CPU usage after cleanup_attributes = 12.781u 1.208s 13.989 0:20.000
     [UI-BDS]     MEM usage after cleanup_attributes = 132.197m 342.922p
     [UI-BDS]     CPU usage after prep_for_cdb = 12.783u 1.208s 13.991 0:20.000
     [UI-BDS]     MEM usage after prep_for_cdb = 132.189m 342.922p
     [UI-BDS]     CPU usage after cpt::handle_static_prop_waivechecks = 12.783u 1.209s 13.991 0:20.000
     [UI-BDS]     MEM usage after cpt::handle_static_prop_waivechecks = 132.189m 342.922p
     [UI-BDPM]    Building module input_ac_channel_read_ln26_bbox_7_1
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +3s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building cfg

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building dependence graph

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building simple nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building merge nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building thread merge nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building entry nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building decl nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished collecting defs

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished computing reachins

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building edges

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished cleaning spurious thread merges

     [UI-BDPM]    Building module fir::run
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building cfg

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building dependence graph

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building simple nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building merge nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building thread merge nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building entry nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building decl nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building nodes

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished collecting defs

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished computing reachins

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building edges

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished cleaning spurious thread merges

     [UI-BDPM]    Building module spec_wrapper
     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building cfg

     [UI-BDS]     SLEC process is using 133 MB, peak 343 MB, and 23 seconds [+0MB, +0MB, +0s] @ Sun Mar 24 15:39:49 2024
     [UI-BDPM]    Finished building dependence graph

